17943,-89,141,-1827,1088,,,,,,
17199,-2736,117,-1842,-35892,,,,,,
14732,-15894,100,-1745,-259126,,,,,,
9474,-53050,90,-1567,-832964,,,,,,
1327,-119781,91,-1320,-1826211,,,,,,
-9482,-216640,104,-977,-3041811,,,,,,
-21459,-327659,119,-566,-4115808,,,,,,
-33097,-438778,134,-154,-5070008,,,,,,
-43053,-531990,146,189,-5244061,,,,,,
-52694,-580246,156,382,-4571199,,,,,,
-61284,-591694,165,481,-3227261,,,,,,
-68366,-581612,169,506,-1990129,,,,,,
-73576,-544201,170,459,-853991,,,,,,
-76844,-492612,166,358,646250,,,,,,
-78370,-418310,159,205,1941739,,,,,,
-78522,-330119,148,19,2989252,,,,,,
-77792,-244380,136,-164,3832552,,,,,,
-76674,-159465,122,-353,4289263,,,,,,
-75678,-90090,111,-493,4266286,,,,,,
-74859,-43528,102,-570,3919946,,,,,,
-74834,-39814,101,-579,3904011,,,,,,
-74816,-36418,100,-588,3859407,,,,,,
-74811,-33139,100,-594,3782211,,,,,,
-74816,-29573,99,-606,3739584,,,,,,
-74828,-26279,99,-617,3725525,,,,,,
-74873,-26754,98,-584,3618436,,,,,,
-74906,-23913,98,-591,3563827,,,,,,
-74934,-21680,97,-594,3480193,,,,,,
-75004,-19628,97,-598,3431022,,,,,,
-75052,39568,96,-601,3360912,,,,,,
-75151,-16046,96,-602,3284024,,,,,,
-75287,-14868,97,-598,3187662,,,,,,
-75358,-13655,97,-595,3139611,,,,,,
-75520,-12500,97,-597,3060599,,,,,,
-75707,-11696,97,-596,2981457,,,,,,
-75807,-10738,97,-596,2898265,,,,,,
-75915,-9940,97,-596,2826952,,,,,,
-76506,-12569,96,-555,2545343,,,,,,
-79209,-24825,100,-440,1586097,,,,,,
-82331,-53732,104,-277,539030,,,,,,
-85375,-89410,111,-114,-403373,,,,,,
-87941,-124665,117,43,-983581,,,,,,
-89603,-142104,121,156,-998932,,,,,,
-89742,-133845,121,188,-630624,,,,,,
-88193,-106018,116,148,137238,,,,,,
-84892,-52927,107,38,1108050,,,,,,
-80488,18190,95,-120,2216583,,,,,,
-74739,95913,81,-297,3090581,,,,,,
-69928,167157,69,-464,3607458,,,,,,
-64252,224091,56,-584,3459204,,,,,,
